State_Raw,County_Raw,Count_Total_Population,Count_Kids_0_18,Count_Working_Age_19_64,Count_Seniors_65Plus,Count_Medicaid_Enrollees,Estimated_Medicaid_Spend,Estimated_Total_County_Spend,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,EMOTIONSPT,FOODINSECU,FOODSTAMP,GHLTH,HEARING,HIGHCHOL,HOUSINSECU,INDEPLIVE,LACKTRPT,LONELINESS,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SHUTUTILITY,SLEEP,STROKE,TEETHLOST,VISION,COST_DRIVEN_BY_DIABETES,COST_DRIVEN_BY_CANCER,COST_DRIVEN_BY_COPD,COST_DRIVEN_BY_OBESITY
Colorado,Weld County,340711,87535,209947,43229,66634,613032800,5383233800,13.7,21.1,19.2,27.4,51.0,7.1,10.7,5.1,67.4,83.1,15.7,55.2,5.3,12.7,63.2,22.0,9.5,29.6,,,,16.9,6.3,29.1,,7.3,,,20.6,72.7,17.2,10.8,33.6,12.6,3.2,,33.6,2.7,10.6,4.6,542221114.0,919238278.0,207663354.0,389228246.0
Colorado,Yuma County,9921,2723,5443,1755,1879,17286800,156751800,15.7,27.1,16.8,27.1,50.1,7.1,11.2,7.2,68.5,84.2,17.1,52.8,6.5,13.9,57.7,22.3,9.2,33.8,,,,20.8,7.1,28.9,,8.5,,,21.7,66.7,16.9,12.3,28.7,14.8,4.1,,32.3,3.0,11.5,5.4,15290086.0,26766858.0,7415948.0,9680912.0
Delaware,Kent County,185043,42374,109625,33044,42719,393014800,2923679400,9.5,25.5,14.1,39.5,77.8,8.4,12.6,6.6,80.8,85.3,15.1,60.7,6.6,14.0,61.9,22.5,14.3,33.1,23.6,15.9,14.3,21.1,5.8,39.3,15.1,8.7,9.1,35.0,30.7,73.0,17.7,16.5,43.5,14.4,4.0,8.6,39.9,3.8,13.1,5.1,443277168.0,590657256.0,140447637.0,273678597.0
Delaware,New Castle County,573030,122553,355316,95161,108627,999368400,9053874000,8.9,22.4,16.3,32.1,57.3,8.1,10.4,5.9,79.2,87.4,13.0,66.0,5.3,11.6,62.3,21.0,10.7,27.5,22.9,14.6,11.9,16.8,5.0,34.0,12.0,7.4,7.9,31.9,24.8,78.9,16.3,13.4,33.4,12.3,3.4,8.2,36.5,2.9,13.1,4.4,1027135646.0,1763786340.0,349261785.0,650732868.0
Delaware,Sussex County,247799,45469,129280,73050,55167,507536400,3915224200,9.4,23.7,12.8,43.4,60.1,11.7,10.7,9.1,78.6,85.2,12.1,57.1,6.3,14.6,60.6,20.4,14.2,31.8,21.1,14.5,11.8,17.7,6.0,48.5,9.1,8.1,6.5,32.0,25.2,80.4,16.5,16.5,34.2,12.7,3.3,6.1,32.5,4.4,12.4,4.5,589460296.0,1101714354.0,179530376.0,288140677.0
Florida,Alachua County,281751,50339,189298,42114,37137,341660400,4451665800,11.9,23.2,16.9,32.7,74.4,7.1,10.1,5.6,77.3,85.0,15.0,58.8,6.3,12.7,56.2,19.8,11.2,29.9,,,,18.1,6.0,34.5,,8.0,,,22.0,74.6,17.8,12.4,33.4,12.1,3.7,,37.7,3.1,9.9,5.3,528627988.0,760164198.0,204128600.0,319956436.0
Florida,Baker County,28186,6814,17119,4253,5464,50268800,445338800,13.4,24.2,16.6,36.7,58.3,7.3,10.3,6.1,74.8,83.8,16.2,62.7,7.5,16.6,50.7,20.0,11.0,32.6,,,,20.1,7.1,38.7,,8.8,,,27.7,76.1,19.7,14.6,35.3,14.3,3.7,,39.5,3.2,12.8,5.2,51938906.0,78187964.0,24310425.0,33828837.0
Florida,Bay County,181368,38149,110154,33065,31440,289248000,2865614400,13.1,24.5,18.3,37.7,57.7,9.1,10.0,5.9,76.3,83.3,15.3,60.6,7.9,14.7,58.1,21.5,11.9,32.1,,,,19.8,6.4,34.0,,8.2,,,25.3,73.5,17.7,12.5,33.2,14.8,3.9,,38.9,3.7,10.0,5.3,361554932.0,627170544.0,164772828.0,204728198.0
Florida,Bradford County,27888,5712,17121,5055,6854,63056800,440630400,15.8,25.5,16.8,38.5,60.2,9.2,10.5,8.6,74.8,83.1,18.7,58.1,9.0,19.6,46.9,20.3,12.4,36.6,,,,24.1,8.5,37.9,,10.9,,,32.0,69.8,21.0,18.3,35.0,17.1,4.9,,43.0,3.9,19.8,7.2,57930292.0,97496448.0,28864080.0,33186720.0
Florida,Brevard County,620533,112755,357616,150162,95051,874469200,9804421400,12.4,22.9,14.4,38.8,79.1,10.6,9.6,7.9,79.7,84.9,13.0,63.5,5.9,13.0,59.1,20.0,10.0,28.3,,,,18.6,8.1,40.5,,7.7,,,23.8,78.3,15.9,11.5,34.0,12.6,3.7,,35.6,2.8,10.8,4.5,1039516882.0,2499506924.0,421031640.0,717336148.0
